All,सभी
"Product Fields Auto-Generation","उत्पाद फ़ील्ड ऑटो-जेनरेशन"
"Mask for SKU","SKU के लिए मास्क"
"Use {{name}} as Product Name placeholder","उत्पाद नाम प्लेसहोल्डर के रूप में {{नाम}} का उपयोग करें"
"Mask for Meta Title","मेटा शीर्षक के लिए मास्क"
"Mask for Meta Keywords","मेटा कीवर्ड्स के लिए मास्क"
"Use {{name}} as Product Name or {{sku}} as Product SKU placeholders","{{name}} as production Name या {{sku}} उत्पाद sku प्लेसहोल्डर्स के रूप में उपयोग करें"
"Mask for Meta Description","मेटा विवरण के लिए मास्क"
"Use {{name}} and {{description}} as Product Name and Product Description placeholders","उत्पाद नाम और उत्पाद विवरण प्लेसहोल्डर के रूप में {{नाम}} और {{विवरण}} का उपयोग करें"
"Recently Viewed/Compared Products","हाल ही में देखा / तुलना उत्पादों"
"Lifetime of products in Recently Viewed Widget","हाल ही में देखे गए विजेट में उत्पादों का जीवनकाल"
"Lifetime of products in Recently Compared Widget","हाल ही में तुलना की गई विजेट में उत्पादों का जीवनकाल"
"Synchronize widget products with backend storage","बैकएंड स्टोरेज के साथ विजेट उत्पादों को सिंक्रनाइज़ करें"
Storefront,स्टोर
"List Mode","सूची मोड"
"Products per Page on Grid Allowed Values","ग्रिड अनुमत मूल्यों पर प्रति पृष्ठ उत्पाद"
Comma-separated.,"अल्पविराम से अलग।"
"Products per Page on Grid Default Value","ग्रिड डिफ़ॉल्ट मूल्य पर प्रति पृष्ठ उत्पाद"
"Products per Page on List Allowed Values","उत्पादों की प्रति पृष्ठ सूची अनुमत मूल्यों पर"
"Products per Page on List Default Value","सूची डिफ़ॉल्ट मूल्य पर प्रति पृष्ठ उत्पाद"
"Use Flat Catalog Category","फ्लैट कैटलॉग श्रेणी का उपयोग करें"
"Use Flat Catalog Product","फ्लैट कैटलॉग उत्पाद का उपयोग करें"
"Product Listing Sort by","द्वारा सूचीबद्ध उत्पादों की सूची"
"Allow All Products per Page","प्रति पृष्ठ सभी उत्पादों को अनुमति दें"
"Product Image Placeholders","उत्पाद छवि प्लेसहोल्डर"
"Search Engine Optimization","खोज इंजिन अनुकूलन"
"Page Title Separator","पृष्ठ शीर्षक विभाजक"
"Use Canonical Link Meta Tag For Categories","श्रेणियों के लिए कैननिकल लिंक मेटा टैग का उपयोग करें"
"Use Canonical Link Meta Tag For Products","उत्पादों के लिए कैननिकल लिंक मेटा टैग का उपयोग करें"
"Catalog Price Scope","कैटलॉग मूल्य स्कोप"
"This defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","यह आधार मुद्रा क्षेत्र (""मुद्रा सेटअप""> ""मुद्रा विकल्प""> ""आधार मुद्रा"") को परिभाषित करता है।"
"Category Top Navigation","श्रेणी शीर्ष नेविगेशन"
"Maximal Depth","अधिकतम गहराई"
"Date & Time Custom Options","दिनांक और समय कस्टम विकल्प"
"Use JavaScript Calendar","जावास्क्रिप्ट कैलेंडर का उपयोग करें"
"Date Fields Order","दिनांक फ़ील्ड आदेश"
"Time Format","समय प्रारूप"
"Year Range","वर्ष श्रेणी"
"Please use a four-digit year format.","कृपया चार अंकों के वर्ष के प्रारूप का उपयोग करें।"
"Top Level Category","शीर्ष स्तर की श्रेणी"
"Product Info Column","उत्पाद जानकारी कॉलम"
"Block after Info Column","इंफो कॉलम के बाद ब्लॉक करें"
"Product Flat Data","उत्पाद फ्लैट डेटा"
"Reorganize EAV product structure to flat structure","समतल संरचना के लिए EAV उत्पाद संरचना का पुनर्गठन करें"
"Category Flat Data","श्रेणी फ्लैट डेटा"
"Reorganize EAV category structure to flat structure","समतल संरचना को EAV श्रेणी संरचना का पुनर्गठन करें"
"Category Products","श्रेणी के उत्पाद"
"Indexed category/products association","अनुक्रमित श्रेणी / उत्पाद संघ"
"Product Categories","उत्पाद श्रेणियाँ"
"Indexed product/categories association","अनुक्रमित उत्पाद / श्रेणियां संघ"
"Product Price","उत्पाद की कीमत"
"Index product prices","सूचकांक उत्पाद की कीमतें"
"Product EAV","उत्पाद ई.वी.ए."
"Index product EAV","सूचकांक उत्पाद ई.ए.वी."
"Catalog New Products List","कैटलॉग नए उत्पादों की सूची"
"List of Products that are set as New","उत्पादों की सूची जो नई के रूप में सेट की गई है"
"Display Type","प्रदर्शन प्रकार"
"All products - recently added products, New products - products marked as new","सभी उत्पाद - हाल ही में जोड़े गए उत्पाद, नए उत्पाद - नए के रूप में चिह्नित उत्पाद"
"All products","सारे उत्पाद"
"New products","नये उत्पाद"
"Display Page Control","पृष्ठ नियंत्रण प्रदर्शित करें"
"Number of Products per Page","प्रति पृष्ठ उत्पादों की संख्या"
"Number of Products to Display","प्रदर्शित करने के लिए उत्पादों की संख्या"
Template,खाका
"New Products Grid Template","नए उत्पाद ग्रिड टेम्पलेट"
"New Products List Template","नए उत्पादों की सूची टेम्पलेट"
"New Products Images and Names Template","नए उत्पाद छवियाँ और नाम टेम्पलेट"
"New Products Names Only Template","नए उत्पाद नाम केवल टेम्पलेट"
"New Products Images Only Template","नए उत्पाद छवियाँ केवल टेम्पलेट"
"Cache Lifetime (Seconds)","कैश लाइफटाइम (सेकंड्स)"
"Catalog Product Link","कैटलॉग उत्पाद लिंक"
"Link to a Specified Product","एक निर्दिष्ट उत्पाद का लिंक"
"Select Product...","उत्पाद का चयन करें ..."
"Anchor Custom Text","लंगर कस्टम पाठ"
"If empty, we'll use the product name here.","यदि खाली है, तो हम यहां उत्पाद नाम का उपयोग करेंगे।"
"Anchor Custom Title","एंकर कस्टम शीर्षक"
"Product Link Block Template","उत्पाद लिंक ब्लॉक टेम्पलेट"
"Product Link Inline Template","उत्पाद लिंक इनलाइन टेम्पलेट"
"Catalog Category Link","कैटलॉग श्रेणी लिंक"
"Link to a Specified Category","एक निर्दिष्ट श्रेणी से लिंक"
"Select Category...","श्रेणी का चयन करें..."
"If empty, we'll use the category name here.","यदि खाली है, तो हम यहाँ श्रेणी नाम का उपयोग करेंगे।"
"Category Link Block Template","श्रेणी लिंक ब्लॉक टेम्पलेट"
"Category Link Inline Template","श्रेणी लिंक इनलाइन टेम्पलेट"
"Recently Viewed Products","अभी देखे उत्पाद"
"List of Products Recently Viewed by Visitor","हाल ही में आगंतुक द्वारा देखे गए उत्पादों की सूची"
"UI Component","यूआई घटक"
"Number of Products to display","प्रदर्शित करने के लिए उत्पादों की संख्या"
"Product attributes to show","उत्पाद विशेषताएँ दिखाने के लिए"
Image,छवि
"Learn More Link","अधिक लिंक जानें"
"Buttons to show","दिखाने के लिए बटन"
"Add to Wishlist","इच्छा सूचि में डालें"
"Viewed Products Grid Template","देखा उत्पाद ग्रिड टेम्पलेट"
"Viewed Products List Template","देखे गए उत्पादों की सूची टेम्पलेट"
"Viewed Products Sidebar Template","देखा उत्पाद साइडबार टेम्पलेट"
"Recently Compared Products","हाल ही में तुलनात्मक उत्पाद"
"List of Products Recently Compared by Visitor","हाल ही में आगंतुक की तुलना में उत्पादों की सूची"
"Compared Products Grid Template","तुलना उत्पाद ग्रिड टेम्पलेट"
"Compared Products List Template","तुलना उत्पाद सूची टेम्पलेट"
Set,सेट
"Category Information","श्रेणी की जानकारी"
"Enable Category","श्रेणी सक्षम करें"
"Include in Menu","मेनू में शामिल करें"
Content,सामग्री
"Category Image","श्रेणी छवि"
Description,विवरण
"Add CMS Block","CMS ब्लॉक जोड़ें"
"Display Settings","प्रदर्शन सेटिंग्स"
"Display Mode","प्रदर्शन प्रणाली"
Anchor,लंगर
"Available Product Listing Sort By","उपलब्ध उत्पाद लिस्टिंग द्वारा क्रमबद्ध करें"
"Use All","सभी का उपयोग करें"
"Default Product Listing Sort By","डिफ़ॉल्ट उत्पाद लिस्टिंग द्वारा क्रमबद्ध करें"
"Layered Navigation Price Step","स्तरित नेविगेशन मूल्य कदम"
"URL Key","URL कुंजी"
"Meta Title","मेटा शीर्षक"
"Meta Keywords","मेटा कीवर्ड"
"Meta Description","मेटा विवरण"
"Products in Category","श्रेणी में उत्पाद"
Design,डिज़ाइन
Theme,विषय
Layout,ख़ाका
"Layout Update XML","लेआउट अपडेट XML"
"Apply Design to Products","उत्पादों के लिए डिजाइन लागू करें"
"Schedule Design Update","अनुसूची डिजाइन अद्यतन"
"Product Image Watermarks","उत्पाद छवि वॉटरमार्क"
Base,आधार
"Allowed file types: jpeg, gif, png.","अनुमत फ़ाइल प्रकार: jpeg, gif, png।"
"Image Opacity","छवि अपारदर्शिता"
"Example format: 200x300.","उदाहरण स्वरूप: 200x300"
"Image Position","छवि स्थिति"
"Attribute Properties","गुण गुण"
"Attribute Label","लेबल संलग्न करें"
"Catalog Input Type for Store Owner","संग्रह स्वामी के लिए कैटलॉग इनपुट प्रकार"
Values,मान
"Add this attribute to the list of column options in the product grid.","उत्पाद ग्रिड में कॉलम विकल्पों की सूची में इस विशेषता को जोड़ें।"
"Add this attribute to the list of filter options in the product grid.","इस विशेषता को उत्पाद ग्रिड में फ़िल्टर विकल्पों की सूची में जोड़ें।"
"All Store Views","सभी स्टोर दृश्य"
"Delete selected items?","चयनित आइटम हटाएं?"
"Delete items","आइटम हटाएं"
"Change status","अवस्था बदलो"
Disable,अक्षम
"Update attributes","अद्यतन विशेषताएँ"
Overview,अवलोकन
"Skip to the end of the images gallery","छवियों गैलरी के अंत तक छोड़ें"
"Skip to the beginning of the images gallery","छवियों गैलरी की शुरुआत के लिए छोड़ दें"
Details,विवरण
"Recently Compared","हाल ही में तुलना की"
"Add To Cart","कार्ट में डालें"
"Add To Compare","तुलना करने के लिए जोड़ें"
"Learn more","और अधिक जानें"
"Recently Viewed","हाल में ही देखा गया"
"Are you sure you want to delete this category?","क्या आपको पूरा यकीन है कि आप इस भाग को हटाना चाहते हैं?"
from,से
to,"सेवा मेरे"
"You added product %1 to the <a href=""%2"">comparison list</a>.","आपने उत्पाद %1 को <a href=""%2""> तुलना सूची </a> से जोड़ा।"
"Maximum %1 characters","अधिकतम %1 वर्ण"
remaining,शेष
"too many","बहुत अधिक"
"This value does not follow the specified format (for example, 200X300).","यह मान निर्दिष्ट प्रारूप का पालन नहीं करता है (उदाहरण के लिए, 200X300)।"
"The value of Admin must be unique. (%1)","व्यवस्थापक का मान अद्वितीय होना चाहिए। (%1)"
"Product Name or SKU","उत्पाद का नाम या SKU"
"Start typing to find products","उत्पादों को खोजने के लिए टाइप करना शुरू करें"
"Use Static URLs for Media Content in WYSIWYG","WYSIWYG में मीडिया सामग्री के लिए स्टेटिक URL का उपयोग करें"
"Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","मीडिया सामग्री को एक स्थिर यूआरएल के रूप में संपादक में डाला जाएगा। यदि सिस्टम कॉन्फ़िगरेशन बेस URL बदलता है तो मीडिया सामग्री अपडेट नहीं की जाती है।"
"Catalog Events","कैटलॉग ईवेंट्स"
"File directory '%1' is not readable.","फाइल निर्देशिका '%1' पठनीय नहीं है ।"
"File directory '%1' is not writable.","फाइल निर्देशिका '%1' पठनीय नहीं है ।"
"Value for 'price' sub attribute in 'store' attribute contains incorrect value","' मूल्य ' उप विशेषता में ' संग्रह ' विशेषता के लिए मान गलत मान हैं"
"Value for 'price' sub attribute in 'custom_options' attribute contains incorrect value","' मूल्य ' उप विशेषता में ' संग्रह ' विशेषता के लिए मान गलत मान हैं"
"Value for 'maximum characters' sub attribute in 'custom_options' attribute contains incorrect value","' मूल्य ' उप विशेषता में ' संग्रह ' विशेषता के लिए मान गलत मान हैं"
"Value for 'sort order' sub attribute in 'custom_options' attribute contains incorrect value","' मूल्य ' उप विशेषता में ' संग्रह ' विशेषता के लिए मान गलत मान हैं"
"Value for 'value price' sub attribute in 'custom_options' attribute contains incorrect value","' मूल्य ' उप विशेषता में ' संग्रह ' विशेषता के लिए मान गलत मान हैं"
"File '%1' was not found or has read restriction.","फाइल '%1' नहीं मिली या फिर पठन प्रतिबंध है ।"
"The stock item for Product in option is not valid.","विकल्प में उत्पाद के लिए स्टॉक आइटम मांय नहीं है ।"
Promotions,प्रचार
"Smth went to exception","smth अपवाद के पास गया"
"Update Name","अद्यतन नाम"
100,१००
50,५०
20,२०
"Create Permanent Redirect for old URL","पुराने URL के लिए स्थायी अनुप्रेषित बनाएँ"
"Invalid URL key","अमान्य URL कुंजी"
"Category URL Suffix","श्रेणी URL प्रत्यय"
"You need to refresh the cache.","आपको कैश ताज़ा करने की आवश्यकता है ।"
"Product URL Suffix","उत्पाद यूआरएल प्रत्यय"
"Shopping Cart","शॉपिंग कार्ट"
"The coupon code ""%1"" is not valid.","""%1"" कूपन कोड मान्य नहीं है।"
"We can't update the item right now.","हम अभी आइटम को अपडेट नहीं कर सकते हैं।"
Checkout,चेकआउट
"Page not found.","पृष्ठ नहीं मिला ।"
"Payment Method","भुगतान का तरीका"
" item"," आइटम"
" items"," आइटम्स"
"Invalid data","अमान्य डेटा"
Item,आइटम
"Clear Shopping Cart","शॉपिंग कार्ट साफ़ करें|"
"Update Shopping Cart","खरीदारी की टोकरी अपडेट करें"
"Update Cart","शॉपिंग कार्ट अपडेट करें|"
"What's this?","यह क्या है?"
"Order #","ऑर्डर #"
"Proceed to Checkout","चेकआउट के लिए आगे बढ़ें"
"Product Name","उत्पाद का नाम"
Reason,कारण 
Customer:,ग्राहक:
Total:,कुल:
"Shipping Address:","शिपिंग पता:"
"Shipping Method:","शिपिंग का तरीका"
"Payment Method:","भुगतान का तरीका:"
"Sign In","साइन इन करें"
"Email Address","ईमेल पता"
"Forgot Your Password?","अपना पासवर्ड भूल गए?"
Update,"अपडेट करें"
"Save in address book","पता पुस्तिका में सहेजें"
Login,"लॉग इन"
"See Details","विवरण पढ़ें"
"Payment Information","भुगतान की जानकारी"
edit,"संपादित करें"
"If you believe it is the right one you can ignore this notice.","यदि आपको लगता है कि यह सही है एक तुम इस नोटिस की अनदेखी कर सकते हैं ।"
Sales,बिक्री
"Preview Quote Lifetime (minutes)","पूर्वावलोकन उद्धरण जीवनकाल (मिनट)"
"Static Blocks","स्थैतिक ब्लॉक"
"Add New Block","नया ब्लॉक जोड़ें"
Back,वापस
"Delete Block","ब्लॉक हटाएं"
Identifier,पहचानकर्ता
"Manage Pages","पृष्ठों का प्रबंधन करें"
"Add New Page","नया पृष्ठ जोड़ें"
"Delete Page","पृष्ठ हटाएं"
"Save Page","पृष्ठ सहेजें"
"URL Key","यूआरएल (URL) कुंजी"
Layout,लेआउट
"Store View","संग्रह दृश्य"
Created,"बनाया गया"
Modified,संशोधित
Action,कार्रवाई
Preview,पूर्वावलोकन
"Media Storage","मीडिया संग्रहण"
"Delete Folder","फ़ोल्डर हटाएं"
"New Folder Name:","नया फ़ोल्डर नाम:"
"Are you sure you want to delete this folder?","क्या आप निश्चयपूर्वक इस फ़ोल्डर को हटाना चाहते हैं?"
"Are you sure you want to delete this file?","क्या आप निश्चयपूर्वक इस फ़ाइल को हटाना चाहते हैं?"
"Images (%1)","छवियां (%1)"
"Storage Root","भंडारण रूट"
"Go to Home Page","मुख पृष्ठ पर जाएं"
CMS,"सीएमएस (CMS)"
"You deleted the block.","आपने ब्लॉक को हटा दिया ।"
"We can't find a block to delete.","हमें हटाने के लिए कोई ब्लॉक नहीं मिल रहा है।"
"This block no longer exists.","यह ब्लॉक अब मौजूद नहीं है ।"
"Edit Block","ब्लॉक संपादित करें"
"New Block","नई ब्लॉक"
Blocks,ब्लॉक
"A total of %1 record(s) have been deleted.","कुल %1 रिकॉर्ड नष्ट कर दिया गया है।"
"You saved the block.","आपने ब्लॉक को सहेजा ।"
"Something went wrong while saving the block.","ब्लॉक को सहेजते समय कुछ गलत हो गया ।"
"The page has been deleted.","पृष्ठ हटा दिया गया है ।"
"We can't find a page to delete.","हमें हटाने के लिए कोई पृष्ठ नहीं मिल रहा है।"
"This page no longer exists.","यह पृष्ठ अब मौजूद नहीं है ।"
"Edit Page","पृष्ठ संपादित करें"
"New Page","नया पृष्ठ"
Pages,पृष्ठों
"Page Title","पृष्ठ शीर्षक"
"You saved the page.","आपने पृष्ठ सहेजा ।"
View,देखें
"No files found","कोई भी फाइल नहीं मिली"
"Expand All","सभी को विस्तृत करें"
"Media Gallery","मीडिया गैलरी"
"Content Management","सामग्री प्रबंधन"
"CMS Home Page","सीएमएस होम पेज"
"CMS No Route Page","सीएमएस कोई मार्ग पृष्ठ नहीं"
"CMS No Cookies Page","CMS कोई कुकी पृष्ठ नहीं"
"Show Breadcrumbs for CMS Pages","सीएमएस पेज के लिए ब्रेडक्रंब दिखाएँ"
"Browser Capabilities Detection","ब्राउज़र क्षमताओं का पता लगाना"
"Redirect to CMS-page if Cookies are Disabled","यदि कुकीज़ अक्षम हैं तो सीएमएस-पृष्ठ पर पुनर्निर्देशित करें"
"Show Notice if JavaScript is Disabled","यदि जावास्क्रिप्ट अक्षम है तो सूचना दिखाएं"
"Show Notice if Local Storage is Disabled","स्थानीय संग्रहण अक्षम है तो सूचना दिखाएं"
"WYSIWYG Options","WYSIWYG विकल्प"
"Enable WYSIWYG Editor","WYSIWYG संपादक सक्षम करें"
"CMS Page Link","सीएमएस पेज लिंक"
"Link to a CMS Page","सीएमएस पेज का लिंक"
"CMS Page","सीएमएस पेज"
"Select Page...","पेज का चयन करें"
"If empty, the Page Title will be used","खाली होने पर, पृष्ठ शीर्षक का उपयोग किया जाएगा"
"Anchor Custom Title","लंगर कस्टम शीर्षक"
Template,टेम्पलेट
"CMS Page Link Block Template","सीएमएस पृष्ठ लिंक ब्लॉक टेम्पलेट"
"CMS Page Link Inline Template","सीएमएस पृष्ठ लिंक इनलाइन टेम्पलेट"
"CMS Static Block","सीएमएस स्टेटिक ब्लॉक"
"Contents of a Static Block","एक स्टेटिक ब्लॉक की सामग्री"
Block,ब्लॉक
"Select Block...","ब्लॉक चुनें..."
"CMS Static Block Default Template","सीएमएस स्टेटिक ब्लॉक डिफ़ॉल्ट टेम्पलेट"
"General Information","सामान्य जानकारी"
"Enable Block","ब्लॉक को सक्षम करें"
"Block Title","ब्लॉक शीर्षक"
"Are you sure you want to delete selected items?","क्या आप वाकई चयनित आइटम हटाना चाहते हैं?"
"Page Information","पृष्ठ जानकारी"
"Enable Page","पृष्ठ सक्षम करें"
"Content Heading","सामग्री शीर्षक"
"Search Engine Optimization","खोज इंजन अनुकूलन"
"Page in Websites","वेबसाइट में पृष्ठ"
Design,डिजाइन
"Layout Update XML","लेआउट अद्यतन XML"
"Custom Design Update","कस्टम डिजाइन अद्यतन"
To,को
"New Theme","नई थीम"
"-- Please Select --","-कृपया चुनें-"
"New Layout","नया लेआउट"
Disable,डिसेबल
Enable,"सक्षम करें"
"Custom design from","से कस्टम डिजाइन"
"Custom design to","कस्टम डिजाइन से"
"Custom Theme","कस्टम थीम"
"Custom Layout","कस्टम लेआउट"
"""identifiers"" of CMS blocks should be specified","सीएमएस ब्लॉकों के ""पहचानकर्ताओं"" निर्दिष्ट किया जाना चाहिए"
"""Page id should be specified","""पेज आईडी निर्दिष्ट की जानी चाहिए"
"The CMS block with the ""%1"" ID doesn't exist.","""%1"" ID वाला CMS ब्लॉक मौजूद नहीं है।"
"Currently Active","वर्तमान में सक्रिय"
"Scheduled Changes","शेड्यूल्ड परिवर्तन"
Description,वर्णन
"Start Date","प्रारंभ दिनांक"
"End Date","समाप्ति दिनांक"
"Save as a New Update","एक नए अद्यतन के रूप में सहेजें"
"Delete the Update","अद्यतन को हटाएं"
"Start Time","प्रारंभ समय"
"End Time","अंत समय"
"Remove CMS page from Update","अद्यतन से सीएमएस पृष्ठ निकालें"
"URL Key","यूआरएल कुंजी"
"CMS Pages","सीएमएस पेज"
"CMS Blocks","सीएमएस ब्लॉक"
"Delete Customer","ग्राहक को हटा दें"
"Delete Company","कंपनी हटाएं"
"Save & Close","सहेजें और बंद करें"
Companies,कंपनियों
"Add New Company","नई कंपनी जोड़ें"
"Company Name:","कंपनी का नाम:"
"Company Legal Name:","कंपनी का कानूनी नाम:"
"Company Email:","कंपनी का ईमेल:"
"VAT/TAX ID:","वैट / टैक्स आईडी:"
"Re-seller ID:","पुनः विक्रेता आईडी:"
"Street Address:","गली का पता:"
Rejected,निरस्त
"Reimburse Balance","प्रतिपूर्ति शेष"
"Are you sure you want to cancel this order? The order amount will not be reverted to %1 because the company is not active.","क्या आप निश्चयपूर्वक इस आदेश को रद्द करना चाहते हैं? आदेश राशि %1 वापस नहीं किया जाएगा क्योंकि कंपनी सक्रिय नहीं है ।"
"Are you sure you want to cancel this order? The order amount will not be reverted to %1 because the company associated with this customer does not exist.","क्या आप निश्चयपूर्वक इस आदेश को रद्द करना चाहते हैं? आदेश राशि %1 वापस नहीं किया जाएगा क्योंकि इस ग्राहक के साथ संबद्ध कंपनी मौजूद नहीं है ।"
"History record no longer exists.","इतिहास रिकॉर्ड अब मौजूद नहीं है ।"
"Company Credit","कंपनी क्रेडिट"
unavailable.,"अनुपलब्ध है।"
"We can't save the credit memo because the company associated with this customer does not exist.","हम क्रेडिट मेमो को सहेज नहीं सकते क्योंकि इस ग्राहक से संबद्ध कंपनी मौजूद नहीं है ।"
Allocated,आवंटित
Updated,अद्यतन
Purchased,खरीद
Reimbursed,प्रतिपूर्ति
Refunded,वापस
"Exception message.","अपवाद संदेश।"
"Exception Message","अपवाद संदेश।"
"No such entity","ऐसी कोई इकाई नहीं"
"Dear %name,","प्रिय %name,"
"Order %order_id refunded","ऑर्डर %order_id वापस कर दिया गया"
"Order %order_id reverted","ऑर्डर %order_id वापस आ गया"
"Cancel the Order","ऑर्डर रद्द करें"
Reimburse,प्रतिपूर्ति
Comma-separated,"अल्पविराम से अलग"
"Credit Currency","ऋण मुद्रा"
"Allow To Exceed Credit Limit","क्रेडिट सीमा से अधिक की अनुमति दें"
"Reason For Change","परिवर्तन का कारण"
Comment,टिप्पणी
Rate,दर
"Convert Credit","कन्वर्ट क्रेडिट"
Date,दिनांक
"Default Config","डिफ़ॉल्ट कॉन्फ़िगरेशन"
"Save Config","कॉन्फ़िगरेशन सहेजें"
"[STORE VIEW]","[स्टोर देखें]"
"Use system value","सिस्टम मान का उपयोग करें"
"Use Website","वेबसाइट का उपयोग करें"
Add,जोड़ना
"Delete File","फ़ाइल को हटाएं"
"Search String","खोज स्ट्रिंग"
"Design Theme","डिज़ाइन थीम"
"Add \Exception","अपवाद जोड़ना"
"-- No Theme --","- कोई विवरण नहीं -"
Configuration,विन्यास
"%1 should implement %2","%1 को %2 लागू करना चाहिए"
"The value you set has already been locked. To change the value, use the --%1 option.","आपके द्वारा निर्धारित मूल्य पहले ही लॉक हो चुका है। मान बदलने के लिए, --%1 विकल्प का उपयोग करें।"
System,प्रणाली
"You saved the configuration.","आपने कॉन्फ़िगरेशन सहेज लिया है।"
"Something went wrong while saving this configuration:","इस कॉन्फ़िगरेशन को सहेजते समय कुछ गड़बड़ हुई:"
"Page not found.","पृष्ठ नहीं मिला।"
"Please specify the admin custom URL.","कृपया व्यवस्थापक कस्टम URL निर्दिष्ट करें।"
"Invalid %1. %2","अमान्य %1 %2"
"Value must be a URL or one of placeholders: %1","मान URL या प्लेसहोल्डर में से एक होना चाहिए:%1"
"Specify a URL or path that starts with placeholder(s): %1, and ends with ""/"".","URL या पथ निर्दिष्ट करें जो प्लेसहोल्डर (ओं) से शुरू होता है:%1, और ""/"" के साथ समाप्त होता है।"
"%1 An empty value is allowed as well.","%1 खाली मान को भी अनुमति है।"
"Specify a fully qualified URL.","पूरी तरह से योग्य URL निर्दिष्ट करें।"
"Selected allowed currency ""%1"" is not available in installed currencies.","चयनित अनुमत मुद्रा ""%1"" स्थापित मुद्राओं में उपलब्ध नहीं है।"
"Default display currency ""%1"" is not available in allowed currencies.","डिफ़ॉल्ट प्रदर्शन मुद्रा ""%1"" अनुमत मुद्राओं में उपलब्ध नहीं है।"
"Sorry, we haven't installed the base currency you selected.","क्षमा करें, हमने आपके द्वारा चयनित आधार मुद्रा स्थापित नहीं की है।"
"We can't save the Cron expression.","हम क्रोन अभिव्यक्ति को नहीं बचा सकते।"
"Sorry, we haven't installed the default display currency you selected.","क्षमा करें, हमने आपके द्वारा चयनित डिफ़ॉल्ट प्रदर्शन मुद्रा स्थापित नहीं की है।"
"Sorry, the default display currency you selected is not available in allowed currencies.","क्षमा करें, आपके द्वारा चयनित डिफ़ॉल्ट प्रदर्शन मुद्रा अनुमत मुद्राओं में उपलब्ध नहीं है।"
"The sender name ""%1"" is not valid. Please use only visible characters and spaces.","प्रेषक का नाम ""%1"" मान्य नहीं है। कृपया केवल दृश्यमान वर्ण और स्थान का उपयोग करें।"
"Maximum sender name length is 255. Please correct your settings.","अधिकतम प्रेषक का नाम लंबाई 255 है। कृपया अपनी सेटिंग्स ठीक करें।"
"The file you're uploading exceeds the server size limit of %1 kilobytes.","आपके द्वारा अपलोड की जा रही फ़ाइल %1 किलोबाइट के सर्वर आकार की सीमा से अधिक है।"
"The base directory to upload file is not specified.","फ़ाइल अपलोड करने के लिए आधार निर्देशिका निर्दिष्ट नहीं है।"
"The specified image adapter cannot be used because of: %1","निर्दिष्ट छवि एडाप्टर का उपयोग %1 के कारण नहीं किया जा सकता है"
"Default scope","डिफ़ॉल्ट गुंजाइश"
"Base currency","आधार मुद्रा"
"Display default currency","डिफ़ॉल्ट मुद्रा प्रदर्शित करें"
"website(%1) scope","वेबसाइट (%1) गुंजाइश"
"store(%1) scope","स्टोर (%1) गुंजाइश"
"Currency ""%1"" is used as %2 in %3.","मुद्रा ""%1"" का उपयोग %3 में%2 के रूप में किया जाता है।"
"Always (during development)","हमेशा (विकास के दौरान)"
"Only Once (version upgrade)","केवल एक बार (संस्करण उन्नयन)"
"Never (production)","कभी नहीं (उत्पादन)"
Bcc,"गुप्त प्रतिलिपि"
"Separate Email","अलग ईमेल"
"%1 (Default)","%1 (डिफ़ॉल्ट)"
title,शीर्षक
Optional,ऐच्छिक
Required,अपेक्षित
Store,दुकान
"Store View","स्टोर देखें"
"HTTP (unsecure)","HTTP (असुरक्षित)"
"Yes (302 Found)","हां (302 मिला)"
"Yes (301 Moved Permanently)","हां (301 स्थानांतरित स्थायी रूप से)"
Specified,निर्दिष्ट
"Config form fieldset clone model required to be able to clone fields","फ़ील्ड को क्लोन करने में सक्षम होने के लिए आवश्यक फ़ील्ड फॉर्मेट क्लोन मॉडल को कॉन्फ़िगर करें"
"%1: Instance of %2 is expected, got %3 instead","%1:%2 का उदाहरण अपेक्षित है, इसके बजाय%3 मिला है"
.,।
"'There is no defined type ' .","'कोई परिभाषित प्रकार नहीं है'।"
"'Object is not instance of ' .","'वस्तु उदाहरण नहीं है'।"
"Filesystem is not writable.","फाइलसिस्टम लेखन योग्य नहीं है।"
"Some error","कुछ त्रुटि"
"Some message","कुछ संदेश"
"This command is unavailable right now.","यह कमांड अभी उपलब्ध नहीं है।"
"The ""test/test/test"" path does not exists","""परीक्षण / परीक्षण / परीक्षण"" पथ मौजूद नहीं है"
"error message","त्रुटि संदेश"
"some prefix","कुछ उपसर्ग"
"element label","तत्व लेबल"
"element hint","तत्व संकेत"
"element comment","तत्व टिप्पणी"
"element tooltip","तत्व टूलटिप"
test,परीक्षा
"Add after","के बाद जोड़ें"
Delete,हटाना
"Current Configuration Scope:","वर्तमान कॉन्फ़िगरेशन स्कोप:"
"Group Label","समूह लेबल"
"Some Label","कुछ लेबल"
"Tab Label","टैब लेबल"
"Allow everything","सब कुछ अनुमति दें"
"Magento Admin","Magento के व्यवस्थापक"
Dashboard,डैशबोर्ड
"Manage Stores","स्टोर प्रबंधित करें"
"Field 2","क्षेत्र 2"
"Field 3","फ़ील्ड 3"
"Field 3.1","क्षेत्र 3.1"
"Field 3.1.1","क्षेत्र 3.1.1"
"Field 4","क्षेत्र 4"
"Advanced Section","उन्नत अनुभाग"
